                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4755,                 3.2459,                 1.3337,                0.01123,                0.37851,                0.00824,                 0.0041,                 1.5396,                 3.5425,                 1.1422,                  1e-06,                  1e-06,                  1e-06
                      2,                 1.4636,                 3.2332,                   1.32,                0.00948,                0.31952,                0.00714,                0.00344,                 1.5621,                 3.5691,                 1.1696,             9.9999e-07,             9.9999e-07,             9.9999e-07
                      3,                 1.4534,                 3.2345,                 1.3124,                0.00915,                0.30829,                0.00655,                0.00319,                 1.5824,                 3.5812,                 1.1865,             9.9996e-07,             9.9996e-07,             9.9996e-07
                      4,                 1.4676,                 3.2357,                  1.318,                0.00869,                0.29284,                0.00623,                0.00295,                 1.5941,                 3.5892,                 1.1966,             9.9991e-07,             9.9991e-07,             9.9991e-07
                      5,                 1.4514,                 3.2296,                 1.3117,                0.00867,                0.29213,                0.00596,                0.00284,                  1.601,                 3.5942,                 1.2049,             9.9984e-07,             9.9984e-07,             9.9984e-07
                      6,                  1.457,                 3.2262,                 1.3119,                0.00842,                0.28371,                0.00579,                0.00277,                 1.6072,                  3.593,                  1.209,             9.9976e-07,             9.9976e-07,             9.9976e-07
                      7,                 1.4575,                 3.2269,                   1.32,                 0.0084,                0.28301,                0.00576,                0.00277,                  1.608,                 3.5925,                 1.2118,             9.9965e-07,             9.9965e-07,             9.9965e-07
                      8,                 1.4676,                 3.2223,                 1.3146,                0.00833,                 0.2809,                0.00577,                 0.0028,                 1.6064,                 3.5896,                 1.2135,             9.9952e-07,             9.9952e-07,             9.9952e-07
                      9,                 1.4338,                 3.2142,                 1.3045,                 0.0084,                0.28301,                0.00587,                0.00287,                 1.6103,                 3.5829,                  1.216,             9.9937e-07,             9.9937e-07,             9.9937e-07
                     10,                 1.4509,                 3.2241,                 1.3082,                 0.0085,                0.28652,                0.00605,                0.00294,                 1.6146,                 3.5771,                 1.2186,             9.9921e-07,             9.9921e-07,             9.9921e-07
                     11,                 1.4349,                 3.2101,                 1.3086,                0.00869,                0.29284,                0.00618,                  0.003,                 1.6192,                 3.5663,                 1.2206,             9.9902e-07,             9.9902e-07,             9.9902e-07
                     12,                 1.4323,                 3.1993,                 1.3049,                0.00892,                0.30056,                0.00636,                0.00308,                 1.6199,                  3.555,                  1.221,             9.9882e-07,             9.9882e-07,             9.9882e-07
                     13,                 1.4476,                 3.1995,                 1.3031,                0.00908,                0.30618,                0.00662,                0.00325,                 1.6236,                 3.5424,                 1.2225,             9.9859e-07,             9.9859e-07,             9.9859e-07
                     14,                 1.4276,                 3.1875,                 1.3037,                0.00906,                0.30548,                0.00705,                0.00362,                 1.6268,                 3.5276,                 1.2233,             9.9835e-07,             9.9835e-07,             9.9835e-07
                     15,                 1.4308,                 3.1912,                 1.2938,                0.00923,                 0.3111,                 0.0087,                0.00469,                 1.6296,                 3.5133,                 1.2241,             9.9809e-07,             9.9809e-07,             9.9809e-07
                     16,                 1.4392,                 3.1872,                 1.3004,                0.00933,                0.31461,                0.01225,                0.00724,                 1.6322,                 3.4983,                 1.2251,              9.978e-07,              9.978e-07,              9.978e-07
